y,x_countMS,x_numMS,x_cumDurMS,x_medDurMS,x_meanDurMS,x_interDurMeanMS,x_interDurMedianMS,x_cumProbMS,x_probEntropyMS,id,train,model
2400,0,0,0,0,0,0,0,0.0324429214928236,27.450637261639,9098,1,patU-Sleep
639,0,0,0,0,0,0,0,0.0871969546700009,28.4793197741658,9JQY,1,patU-Sleep
2400,6,0.15,24,3.5,4,28.6,24,0.0939925375130187,132.010931497882,AXbm,1,patU-Sleep
2400,4,0.1,12,3,3,174.333333333333,106,0.100488398596728,138.215033782814,Af8a,1,patU-Sleep
2400,0,0,0,0,0,0,0,0.0173650992955513,11.8535722413908,AsLD,1,patU-Sleep
474,0,0,0,0,0,0,0,0.0133959256573644,1.49224902800616,C1Wu,1,patU-Sleep
1863,14,0.450885668276973,59,3,4.21428571428571,55.5384615384615,8,0.175183778254121,203.222774319191,DYYI,1,patU-Sleep
460,0,0,0,0,0,0,0,0.0693537064708781,15.0993215208661,DjrT,1,patU-Sleep
2161,0,0,0,0,0,0,0,0.021185180058497,16.4166022473576,Dr51,1,patU-Sleep
2400,0,0,0,0,0,0,0,0.0987211405723271,127.192662221781,EHED,1,patU-Sleep
1018,0,0,0,0,0,0,0,0.0606303217035506,29.3241899419073,EMcQ,1,patU-Sleep
1510,7,0.278145695364238,24,3,3.42857142857143,146,44,0.228162380000465,235.607051916881,G7PJ,1,patU-Sleep
681,0,0,0,0,0,0,0,0.0168245583445636,3.37197487339934,Ivfn,1,patU-Sleep
612,5,0.490196078431373,32,5,6.4,12.5,12.5,0.25588001150398,106.390748643962,JCpz,1,patU-Sleep
2400,0,0,0,0,0,0,0,0.0308228230735501,27.3382870403168,LR2s,1,patU-Sleep
2400,0,0,0,0,0,0,0,0.0889533101199295,109.555810735544,MS6u,1,patU-Sleep
155,0,0,0,0,0,0,0,0.287274312615468,31.3860173723605,Msy4,1,patU-Sleep
969,0,0,0,0,0,0,0,0.0966930485360428,50.8132888701486,Nzhl,1,patU-Sleep
1628,0,0,0,0,0,0,0,0.0148609077643038,9.31105580324531,QDsa,1,patU-Sleep
2400,0,0,0,0,0,0,0,0.120344952398497,164.158528931042,RM1S,1,patU-Sleep
14,2,8.57142857142857,8,4,4,3,3,0.435328026452649,3.71285072762463,RfL0,1,patU-Sleep
