specificity,accuracy,fpMinutes,recall,precision,f1,optIdx,optThres,k,method,hz
0.930962021423812,0.894729753995331,4.49,0.639059674502713,0.567437379576108,0.601122639904746,17,0.425,5,predsBinMax,16
0.949919493642774,0.888867960067809,3.00666666666667,0.547906976744186,0.662045710003747,0.599592806243638,NaN,NaN,1,predsArgmax,8
0.981307491760539,0.930520419226599,1.26666666666667,0.359158826784726,0.630709426627794,0.457686882933709,NaN,NaN,2,predsArgmax,8
0.942723452190113,0.933187914041041,4.40666666666667,0.801791044776119,0.503939962476548,0.61889400921659,NaN,NaN,3,predsArgmax,8
0.929214816116701,0.896637210604182,5.37,0.567111111111111,0.441981295462418,0.49678800856531,NaN,NaN,4,predsArgmax,8
0.92332530367485,0.892754534027653,4.98666666666667,0.677034358047016,0.555819477434679,0.610467960215229,NaN,NaN,5,predsArgmax,8
0.974626617067348,0.899274816349595,1.52333333333333,0.478449612403101,0.7715,0.590622009569378,27,0.675,1,predsSum,8
0.991391608047617,0.934360318033972,0.583333333333333,0.292750415052573,0.751420454545455,0.421346077260056,27,0.675,2,predsSum,8
0.934578224513669,0.925674583939247,5.03333333333333,0.802985074626866,0.471103327495622,0.593818984547461,24,0.6,3,predsSum,8
0.945340304934312,0.907233395977448,4.14666666666667,0.521777777777778,0.485525227460711,0.502999143101971,26,0.65,4,predsSum,8
0.93490851314643,0.899712695277429,4.23333333333333,0.651356238698011,0.586453923803321,0.61720356408499,26,0.65,5,predsSum,8
0.963744378435401,0.887219815407798,2.17666666666667,0.45984496124031,0.694288389513109,0.55325498974072,17,0.425,1,predsMax,8
0.97166609277387,0.918684495843874,1.92,0.322634200332042,0.503019844693701,0.393122049898854,16,0.4,2,predsMax,8
0.95693427494476,0.945548553885927,3.31333333333333,0.78865671641791,0.570626349892009,0.662155388471178,16,0.4,3,predsMax,8
0.929873896041127,0.893318405374065,5.32,0.523555555555556,0.424657534246575,0.468949044585987,16,0.4,4,predsMax,8
0.929783199220952,0.892978990842162,4.56666666666667,0.633273056057866,0.56103812880487,0.594971117906898,16,0.4,5,predsMax,8
0.968408194991949,0.897014503673008,1.89666666666667,0.498294573643411,0.738511029411765,0.595074986113683,NaN,NaN,1,predsBinArgmax,8
0.987800678833194,0.931107697867727,0.826666666666667,0.293303818483675,0.681233933161954,0.410058027079304,NaN,NaN,2,predsBinArgmax,8
0.961526796932542,0.948860882210373,2.96,0.774328358208955,0.593592677345538,0.672020725388601,NaN,NaN,3,predsBinArgmax,8
0.952590184102992,0.912271582230397,3.59666666666667,0.504444444444444,0.512646793134598,0.508512544802867,NaN,NaN,4,predsBinArgmax,8
0.941212649274768,0.902136828874125,3.82333333333333,0.626401446654611,0.601597777005905,0.613749114103473,NaN,NaN,5,predsBinArgmax,8
0.97917939037255,0.900687511772462,1.25,0.462325581395349,0.79903536977492,0.585739540365351,27,0.675,1,predsBinSum,8
0.991194844802991,0.934495843874232,0.596666666666667,0.296624239070282,0.74965034965035,0.425059476605868,26,0.65,2,predsBinSum,8
0.937351067977991,0.927896267571498,4.82,0.797611940298507,0.480230050323508,0.599506394435719,24,0.6,3,predsBinSum,8
0.95021749637506,0.909992402735015,3.77666666666667,0.503111111111111,0.499779249448124,0.501439645625692,26,0.65,4,predsBinSum,8
0.938393726615755,0.90177769797091,4.00666666666667,0.643399638336347,0.596779604159678,0.619213365819701,26,0.65,5,predsBinSum,8
0.967242240852812,0.892870597099265,1.96666666666667,0.477519379844961,0.723004694835681,0.57516339869281,17,0.425,1,predsBinMax,8
0.982438880417138,0.926544994578966,1.19,0.297731045932485,0.601117318435754,0.398223538119911,17,0.425,2,predsBinMax,8
0.95801741692301,0.946719987073841,3.23,0.791044776119403,0.577593722755013,0.667674477198287,16,0.4,3,predsBinMax,8
0.934751087481875,0.900235915070575,4.95,0.551111111111111,0.455045871559633,0.498492462311558,16,0.4,4,predsBinMax,8
0.941058889857004,0.900206500269348,3.83333333333333,0.611934900542495,0.595355383532723,0.603531300160514,17,0.425,5,predsBinMax,8
0.961856643162512,0.895695987944999,2.29,0.526201550387597,0.711828859060403,0.605098948119094,NaN,NaN,1,predsArgmax,1
0.985095184219588,0.931378749548247,1.01,0.327061427780852,0.661073825503356,0.43761569788967,NaN,NaN,2,predsArgmax,1
0.951431913695247,0.940216513168525,3.73666666666667,0.785671641791045,0.540008206811654,0.640077821011673,NaN,NaN,3,predsArgmax,1
0.946482710136649,0.91027230197129,4.06,0.544,0.501228501228501,0.521739130434783,NaN,NaN,4,predsArgmax,1
0.935421044538978,0.899443347100018,4.2,0.645569620253165,0.586206896551724,0.614457831325301,NaN,NaN,5,predsArgmax,1
0.974293487313309,0.901911847805613,1.54333333333333,0.497674418604651,0.776112185686654,0.606461364065747,25,0.625,1,predsSum,1
0.992572187515372,0.934315142753885,0.503333333333333,0.278915329275041,0.769465648854962,0.409423233143785,26,0.65,2,predsSum,1
0.93522810970062,0.926320891904993,4.98333333333333,0.803582089552239,0.473776839141147,0.596102745792737,22,0.55,3,predsSum,1
0.947756931323872,0.910752129233476,3.96333333333333,0.536444444444444,0.503756260434057,0.519586741282824,24,0.6,4,predsSum,1
0.936651119881093,0.900790087987071,4.12,0.647739602169982,0.591674925668979,0.618439226519337,24,0.6,5,predsSum,1
0.966076286713675,0.887266905255227,2.03666666666667,0.447131782945736,0.702386751095957,0.546419098143236,18,0.45,1,predsMax,1
0.981750209060947,0.924783158655584,1.23666666666667,0.283895960154953,0.580316742081448,0.381270903010033,18,0.45,2,predsMax,1
0.966249295957714,0.95261754726127,2.59666666666667,0.764776119402985,0.621844660194175,0.685943775100401,17,0.425,3,predsMax,1
0.946263016828507,0.907113439161902,4.07666666666667,0.511111111111111,0.484618626211547,0.497512437810945,17,0.425,4,predsMax,1
0.947824304238635,0.902630633866044,3.39333333333333,0.58372513562387,0.61322188449848,0.598110061145081,18,0.45,5,predsMax,1
